,P-value,Significant,Risk Ratio,Confidence Interval
Certain infectious and parasitic diseases,0.8187687307834437,No,2.72,"(0.54, 13.59)"
Neoplasms,0.28101124676111533,No,7.58,"(6.08, 9.44)"
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.32941091511734366,No,6.74,"(5.12, 8.89)"
"Endocrine, nutritional and metabolic diseases",0.32490864724497187,No,6.75,"(5.65, 8.06)"
"Mental, Behavioral and Neurodevelopmental disorders",0.583428470770244,No,4.1,"(1.01, 16.54)"
Diseases of the nervous system,0.7058704561731727,No,3.27,"(0.81, 13.21)"
Diseases of the eye and adnexa,0.6784119589792776,No,3.44,"(0.85, 13.9)"
Diseases of the ear and mastoid process,0.5994113164908769,No,3.98,"(0.98, 16.15)"
Diseases of the circulatory system,0.6672798188567224,No,3.5,"(0.87, 14.15)"
Diseases of the respiratory system,0.8460466341815082,No,2.59,"(0.52, 12.96)"
Diseases of the digestive system,0.8474733056939827,No,2.59,"(0.52, 12.95)"
Diseases of the skin and subcutaneous tissue,0.5982675819730722,No,3.98,"(0.99, 16.09)"
Diseases of the musculoskeletal system and connective tissue,0.8166326503442554,No,2.73,"(0.55, 13.62)"
Diseases of the genitourinary system,0.6146459461820941,No,3.86,"(0.96, 15.6)"
"Congenital malformations, deformations and chromosomal abnormalities",0.36579356420031506,No,6.13,"(5.06, 7.42)"
