,P-value,Significant,Risk Ratio,Confidence Interval
Certain infectious and parasitic diseases,9.549588135036695e-13,Yes,0.35,"(0.26, 0.47)"
Neoplasms,1.0304018026275312e-06,Yes,0.41,"(0.29, 0.59)"
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,4.2970564835222656e-08,Yes,0.34,"(0.23, 0.5)"
"Endocrine, nutritional and metabolic diseases",1.437962521903978e-12,Yes,0.33,"(0.24, 0.45)"
"Mental, Behavioral and Neurodevelopmental disorders",2.2567282941671283e-12,Yes,0.36,"(0.26, 0.48)"
Diseases of the nervous system,4.592065120206545e-09,Yes,0.38,"(0.27, 0.52)"
Diseases of the eye and adnexa,2.1760415586079148e-09,Yes,0.37,"(0.26, 0.52)"
Diseases of the ear and mastoid process,9.364046119833323e-11,Yes,0.32,"(0.23, 0.46)"
Diseases of the circulatory system,8.270185071957798e-12,Yes,0.36,"(0.27, 0.49)"
Diseases of the respiratory system,8.643480811313104e-12,Yes,0.36,"(0.27, 0.49)"
Diseases of the digestive system,4.043465185528363e-12,Yes,0.34,"(0.25, 0.47)"
Diseases of the skin and subcutaneous tissue,2.763325666604748e-10,Yes,0.36,"(0.26, 0.5)"
Diseases of the musculoskeletal system and connective tissue,1.0797696518486673e-11,Yes,0.36,"(0.27, 0.49)"
Diseases of the genitourinary system,9.4136576389818e-12,Yes,0.35,"(0.26, 0.48)"
"Congenital malformations, deformations and chromosomal abnormalities",3.92296135672194e-08,Yes,0.36,"(0.25, 0.52)"
