,Vaccinated,Not vaccinated
Certain infectious and parasitic diseases,0.0,2.5834306543511345
Neoplasms,0.0,2.9594919538812503
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0,4.677581022385566
"Endocrine, nutritional and metabolic diseases",0.0,3.160846291103747
"Mental, Behavioral and Neurodevelopmental disorders",0.0,2.51994960100798
Diseases of the nervous system,0.0,2.732919254658385
Diseases of the eye and adnexa,0.0,2.9485639401550725
Diseases of the ear and mastoid process,0.0,2.882675122513693
Diseases of the circulatory system,0.0,3.0421939067942327
Diseases of the respiratory system,0.0,2.549626661810235
Diseases of the digestive system,0.0,2.7086719173229987
Diseases of the skin and subcutaneous tissue,0.0,2.321671603554559
Diseases of the musculoskeletal system and connective tissue,0.0,2.319327731092437
Diseases of the genitourinary system,0.0,2.5507246376811596
"Congenital malformations, deformations and chromosomal abnormalities",0.0,3.0550621669626996
