,read_code,icd10_code,mapping_status,refine_flag,add_code_flag,element_num,block_num
0,123..,Z831,D,C,M,0.0,0.0
1,123..,Z830,A,C,M,0.0,0.0
2,1231.,Z831,G,C,M,0.0,0.0
3,1232.,Z831,G,C,M,0.0,0.0
4,1233.,Z831,G,C,M,0.0,0.0
5,1244.,Z848,G,C,M,0.0,0.0
6,1246.,Z848,G,C,M,0.0,0.0
7,1247.,Z848,G,C,M,0.0,0.0
8,1248.,Z806,G,C,M,0.0,0.0
9,124C.,Z804,G,C,M,0.0,0.0
10,124D.,Z848,G,C,M,0.0,0.0
11,124E.,Z848,G,C,M,0.0,0.0
12,125..,Z834,G,C,M,0.0,0.0
13,1251.,Z834,G,C,M,0.0,0.0
14,1252.,Z833,G,C,M,0.0,0.0
15,126..,Z834,G,C,M,0.0,0.0
16,1261.,Z834,G,C,M,0.0,0.0
17,1263.,Z826,G,C,M,0.0,0.0
18,1264.,Z834,G,C,M,0.0,0.0
19,1265.,Z834,G,C,M,0.0,0.0
20,1266.,Z834,G,C,M,0.0,0.0
21,1267.,Z834,G,C,M,0.0,0.0
22,1268.,Z826,G,C,M,0.0,0.0
23,1269.,Z834,G,C,M,0.0,0.0
24,127..,Z832,G,C,M,0.0,0.0
25,1272.,Z832,G,C,M,0.0,0.0
26,1273.,Z832,G,C,M,0.0,0.0
27,1274.,Z832,G,C,M,0.0,0.0
28,1275.,Z832,G,C,M,0.0,0.0
29,128..,Z818,G,C,M,0.0,0.0
30,1281.,Z818,G,C,M,0.0,0.0
31,1283.,Z813,G,C,M,0.0,0.0
32,1284.,Z818,G,C,M,0.0,0.0
33,1285.,Z818,G,C,M,0.0,0.0
34,1287.,Z818,G,C,M,0.0,0.0
35,1288.,Z818,G,C,M,0.0,0.0
36,1289.,Z818,G,C,M,0.0,0.0
37,1291.,Z820,G,C,M,0.0,0.0
38,1292.,Z820,G,C,M,0.0,0.0
39,1293.,Z820,G,C,M,0.0,0.0
40,1294.,Z820,G,C,M,0.0,0.0
41,1295.,Z820,G,C,M,0.0,0.0
42,1296.,Z820,G,C,M,0.0,0.0
43,1297.,Z820,G,C,M,0.0,0.0
44,1298.,Z820,G,C,M,0.0,0.0
45,1299.,Z820,G,C,M,0.0,0.0
46,12A..,Z835,D,C,M,0.0,0.0
47,12A..,Z808,R,C,M,0.0,0.0
48,12A..,Z821,R,C,M,0.0,0.0
49,12A1.,Z835,G,C,M,0.0,0.0
50,12A2.,Z835,G,C,M,0.0,0.0
51,12A4.,Z835,G,C,M,0.0,0.0
52,12AZ.,Z835,G,C,M,0.0,0.0
53,12B..,Z835,G,C,M,0.0,0.0
54,12B1.,Z822,G,C,M,0.0,0.0
55,12B2.,Z835,G,C,M,0.0,0.0
56,12BZ.,Z835,G,C,M,0.0,0.0
57,12C1.,Z824,G,C,M,0.0,0.0
58,12C6.,Z824,G,C,M,0.0,0.0
59,12C7.,Z820,G,C,M,0.0,0.0
60,12C8.,Z824,G,C,M,0.0,0.0
61,12CZ.,Z824,G,C,M,0.0,0.0
62,12D2.,Z825,G,C,M,0.0,0.0
63,12D3.,Z836,G,C,M,0.0,0.0
64,12D4.,Z836,G,C,M,0.0,0.0
65,12DZ.,Z836,D,C,M,0.0,0.0
66,12DZ.,Z825,R,C,M,0.0,0.0
67,12E..,Z837,G,C,M,0.0,0.0
68,12E5.,Z837,G,C,M,0.0,0.0
69,12EZ.,Z837,G,C,M,0.0,0.0
70,12F1.,Z827,G,C,M,0.0,0.0
71,12F2.,Z842,G,C,M,0.0,0.0
72,12F3.,Z842,G,C,M,0.0,0.0
73,12F4.,Z842,G,C,M,0.0,0.0
74,12F5.,Z842,G,C,M,0.0,0.0
75,12F6.,Z834,G,C,M,0.0,0.0
76,12F7.,Z834,G,C,M,0.0,0.0
77,12F8.,Z834,G,C,M,0.0,0.0
78,12F9.,Z842,G,C,M,0.0,0.0
79,12G..,Z848,G,C,M,0.0,0.0
80,12G1.,Z824,G,C,M,0.0,0.0
81,12G2.,Z833,G,C,M,0.0,0.0
82,12G3.,Z818,G,C,M,0.0,0.0
83,12H..,Z840,G,C,M,0.0,0.0
84,12H1.,Z840,G,C,M,0.0,0.0
85,12H2.,Z840,G,C,M,0.0,0.0
86,12H3.,Z840,G,C,M,0.0,0.0
87,12H4.,Z840,G,C,M,0.0,0.0
88,12HZ.,Z840,G,C,M,0.0,0.0
89,12I1.,Z826,G,C,M,0.0,0.0
90,12I2.,Z826,G,C,M,0.0,0.0
91,12I3.,Z826,G,C,M,0.0,0.0
92,12IZ.,Z826,G,C,M,0.0,0.0
93,12J..,Z827,G,C,M,0.0,0.0
94,12J1.,Z827,G,C,M,0.0,0.0
95,12J2.,Z827,G,C,M,0.0,0.0
96,12J4.,Z827,G,C,M,0.0,0.0
97,12J5.,Z827,G,C,M,0.0,0.0
98,12J6.,Z827,G,C,M,0.0,0.0
99,12J7.,Z827,G,C,M,0.0,0.0
100,12J8.,Z827,G,C,M,0.0,0.0
101,12JZ.,Z827,G,C,M,0.0,0.0
102,12L4.,Z822,G,C,M,0.0,0.0
103,12R..,Z848,G,C,M,0.0,0.0
104,12Z1.,Z848,G,C,M,0.0,0.0
105,12Z2.,Z848,G,C,M,0.0,0.0
106,12Z4.,Z848,G,C,M,0.0,0.0
107,12ZZ.,Z843,E,C,M,0.0,0.0
108,1335.,Z634,G,C,M,0.0,0.0
109,133B.,Z762,G,C,C,0.0,0.0
110,133C.,Z634,G,C,M,0.0,0.0
111,1364.,Z721,G,C,M,0.0,0.0
112,1365.,Z721,G,C,M,0.0,0.0
113,136K.,F100,D,C,C,0.0,0.0
114,136K.,F102,A,C,C,0.0,0.0
115,1373.,F171,G,C,C,0.0,0.0
116,1374.,F171,G,C,C,0.0,0.0
117,1375.,F171,G,C,C,0.0,0.0
118,1376.,F171,G,C,C,0.0,0.0
119,1377.,Z864,G,C,M,0.0,0.0
120,1378.,Z864,G,C,M,0.0,0.0
121,1379.,Z864,G,C,M,0.0,0.0
122,137A.,Z864,G,C,M,0.0,0.0
123,137B.,Z864,G,C,M,0.0,0.0
124,137F.,Z864,G,C,M,0.0,0.0
125,137H.,F171,G,C,C,0.0,0.0
126,137I.,Z587,G,C,M,0.0,0.0
127,137J.,F171,G,C,C,0.0,0.0
128,137K.,Z864,G,C,M,0.0,0.0
129,137N.,Z864,G,C,M,0.0,0.0
130,137O.,Z864,G,C,M,0.0,0.0
131,137R.,F172,G,C,C,0.0,0.0
132,13CE.,R268,D,C,C,0.0,0.0
133,13CE.,R262,A,C,C,0.0,0.0
134,13CE.,R263,A,C,C,0.0,0.0
135,13CE.,Z740,R,C,M,0.0,0.0
136,13D3.,Z590,G,C,M,0.0,0.0
137,13F2.,Z602,G,C,M,0.0,0.0
138,13F3.,Z602,G,C,M,0.0,0.0
139,13F31,Z602,G,C,M,0.0,0.0
140,13FF.,Z598,D,C,M,0.0,0.0
141,13FF.,Z590,A,C,M,0.0,0.0
142,13FF2,Z598,D,C,M,0.0,0.0
143,13FF2,Z590,A,C,M,0.0,0.0
144,13G1.,Z741,D,C,M,0.0,0.0
145,13G1.,Z742,A,C,M,0.0,0.0
146,13G2.,Z741,D,C,M,0.0,0.0
147,13G2.,Z742,A,C,M,0.0,0.0
148,13G4.,Z719,G,C,C,0.0,0.0
149,13G61,Z741,D,C,M,0.0,0.0
150,13G61,Z74,A,M,M,0.0,0.0
151,13H2.,Z635,G,C,M,0.0,0.0
152,13H31,Z635,G,C,M,0.0,0.0
153,13H41,Z635,G,C,M,0.0,0.0
154,13H8.,Z640,D,C,M,0.0,0.0
155,13H8.,Z357,R,C,C,0.0,0.0
156,13HA.,Z918,G,C,M,0.0,0.0
157,13HB.,Z635,G,C,M,0.0,0.0
158,13HC.,Z918,G,C,M,0.0,0.0
159,13HD.,Z630,G,C,M,0.0,0.0
160,13HM2,Z653,G,C,M,0.0,0.0
161,13HM5,Z653,G,C,M,0.0,0.0
162,13HM6,Z653,G,C,M,0.0,0.0
163,13HM7,Z653,G,C,M,0.0,0.0
164,13HP.,Z639,G,C,M,0.0,0.0
165,13HP0,Z630,G,C,M,0.0,0.0
166,13HP1,Z630,G,C,M,0.0,0.0
167,13HP3,Z639,G,C,M,0.0,0.0
168,13HP4,Z631,G,C,M,0.0,0.0
169,13HP5,Z631,G,C,M,0.0,0.0
170,13HP7,Z639,G,C,M,0.0,0.0
171,13HR.,Z653,G,C,M,0.0,0.0
172,13HV.,Z630,G,C,M,0.0,0.0
173,13HV1,Z630,G,C,M,0.0,0.0
174,13HV2,Z630,G,C,M,0.0,0.0
175,13HV4,Z630,G,C,M,0.0,0.0
176,13I7.,Z653,G,C,M,0.0,0.0
177,13I71,Z653,G,C,M,0.0,0.0
178,13ICZ,Z638,D,C,C,0.0,0.0
179,13ICZ,Z614,R,C,M,0.0,0.0
180,13ICZ,Z615,R,C,M,0.0,0.0
181,13ICZ,Z616,R,C,M,0.0,0.0
182,13IF.,Z618,D,C,M,0.0,0.0
183,13IF.,Z614,A,C,M,0.0,0.0
184,13IF.,Z615,A,C,M,0.0,0.0
185,13IF.,Z616,A,C,M,0.0,0.0
186,13IG.,Z638,G,C,C,0.0,0.0
187,13IJ.,Z622,D,C,M,0.0,0.0
188,13IJ.,F942,R,C,C,0.0,0.0
189,13IJ.,Z611,R,C,M,0.0,0.0
190,13J2.,Z560,G,C,M,0.0,0.0
191,13J7.,Z560,G,C,M,0.0,0.0
