,ICD10_CODE,ALT_CODE,USAGE,USAGE_UK,DESCRIPTION,MODIFIER_4,MODIFIER_5,QUALIFIERS,GENDER_MASK,MIN_AGE,MAX_AGE,TREE_DESCRIPTION
0,A00,A00,DEFAULT,3.0,Cholera, , , , , , , 
1,A00.0,A000,DEFAULT,3.0,"Cholera due to Vibrio cholerae 01, biovar cholerae", , , , , , , 
2,A00.1,A001,DEFAULT,3.0,"Cholera due to Vibrio cholerae 01, biovar eltor", , , , , , , 
3,A00.9,A009,DEFAULT,3.0,"Cholera, unspecified", , , , , , , 
4,A01,A01,DEFAULT,3.0,Typhoid and paratyphoid fevers, , , , , , , 
5,A01.0,A010,DEFAULT,3.0,Typhoid fever, , , , , , , 
6,A01.1,A011,DEFAULT,3.0,Paratyphoid fever A, , , , , , , 
7,A01.2,A012,DEFAULT,3.0,Paratyphoid fever B, , , , , , , 
8,A01.3,A013,DEFAULT,3.0,Paratyphoid fever C, , , , , , , 
9,A01.4,A014,DEFAULT,3.0,"Paratyphoid fever, unspecified", , , , , , , 
10,A02,A02,DEFAULT,3.0,Other salmonella infections, , , , , , , 
11,A02.0,A020,DEFAULT,3.0,Salmonella enteritis, , , , , , , 
12,A02.1,A021,DEFAULT,3.0,Salmonella sepsis, , , , , , , 
13,A02.2,A022,DEFAULT,3.0,Localized salmonella infections, , , , , , , 
14,A02.8,A028,DEFAULT,3.0,Other specified salmonella infections, , , , , , , 
15,A02.9,A029,DEFAULT,3.0,"Salmonella infection, unspecified", , , , , , , 
16,A03,A03,DEFAULT,3.0,Shigellosis, , , , , , , 
17,A03.0,A030,DEFAULT,3.0,Shigellosis due to Shigella dysenteriae, , , , , , , 
18,A03.1,A031,DEFAULT,3.0,Shigellosis due to Shigella flexneri, , , , , , , 
19,A03.2,A032,DEFAULT,3.0,Shigellosis due to Shigella boydii, , , , , , , 
20,A03.3,A033,DEFAULT,3.0,Shigellosis due to Shigella sonnei, , , , , , , 
21,A03.8,A038,DEFAULT,3.0,Other shigellosis, , , , , , , 
22,A03.9,A039,DEFAULT,3.0,"Shigellosis, unspecified", , , , , , , 
23,A04,A04,DEFAULT,3.0,Other bacterial intestinal infections, , , , , , , 
24,A04.0,A040,DEFAULT,3.0,Enteropathogenic Escherichia coli infection, , , , , , , 
25,A04.1,A041,DEFAULT,3.0,Enterotoxigenic Escherichia coli infection, , , , , , , 
26,A04.2,A042,DEFAULT,3.0,Enteroinvasive Escherichia coli infection, , , , , , , 
27,A04.3,A043,DEFAULT,3.0,Enterohaemorrhagic Escherichia coli infection, , , , , , , 
28,A04.4,A044,DEFAULT,3.0,Other intestinal Escherichia coli infections, , , , , , , 
29,A04.5,A045,DEFAULT,3.0,Campylobacter enteritis, , , , , , , 
30,A04.6,A046,DEFAULT,3.0,Enteritis due to Yersinia enterocolitica, , , , , , , 
31,A04.7,A047,DEFAULT,3.0,Enterocolitis due to Clostridium difficile, , , , , , , 
32,A04.8,A048,DEFAULT,3.0,Other specified bacterial intestinal infections, , , , , , , 
33,A04.9,A049,DEFAULT,3.0,"Bacterial intestinal infection, unspecified", , , , , , , 
34,A05,A05,DEFAULT,3.0,"Other bacterial foodborne intoxications, not elsewhere classified", , , , , , , 
35,A05.0,A050,DEFAULT,3.0,Foodborne staphylococcal intoxication, , , , , , , 
36,A05.1,A051,DEFAULT,3.0,Botulism, , , , , , , 
37,A05.2,A052,DEFAULT,3.0,Foodborne Clostridium perfringens [Clostridium welchii] intoxication, , , , , , , 
38,A05.3,A053,DEFAULT,3.0,Foodborne Vibrio parahaemolyticus intoxication, , , , , , , 
39,A05.4,A054,DEFAULT,3.0,Foodborne Bacillus cereus intoxication, , , , , , , 
40,A05.8,A058,DEFAULT,3.0,Other specified bacterial foodborne intoxications, , , , , , , 
41,A05.9,A059,DEFAULT,3.0,"Bacterial foodborne intoxication, unspecified", , , , , , , 
42,A06,A06,DEFAULT,3.0,Amoebiasis, , , , , , , 
43,A06.0,A060,DEFAULT,3.0,Acute amoebic dysentery, , , , , , , 
44,A06.1,A061,DEFAULT,3.0,Chronic intestinal amoebiasis, , , , , , , 
45,A06.2,A062,DEFAULT,3.0,Amoebic nondysenteric colitis, , , , , , , 
46,A06.3,A063,DEFAULT,3.0,Amoeboma of intestine, , , , , , , 
47,A06.4,A064,DAGGER,1.0,Amoebic liver abscess, , ,K77.0, , , , 
48,A06.5,A065,DAGGER,1.0,Amoebic lung abscess, , ,J99.8, , , , 
49,A06.6,A066,DAGGER,1.0,Amoebic brain abscess, , ,G07, , , , 
50,A06.7,A067,DEFAULT,3.0,Cutaneous amoebiasis, , , , , , , 
51,A06.8,A068,DEFAULT,3.0,Amoebic infection of other sites, , , , , , , 
52,A06.9,A069,DEFAULT,3.0,"Amoebiasis, unspecified", , , , , , , 
53,A07,A07,DEFAULT,3.0,Other protozoal intestinal diseases, , , , , , , 
54,A07.0,A070,DEFAULT,3.0,Balantidiasis, , , , , , , 
55,A07.1,A071,DEFAULT,3.0,Giardiasis [lambliasis], , , , , , , 
56,A07.2,A072,DEFAULT,3.0,Cryptosporidiosis, , , , , , , 
57,A07.3,A073,DEFAULT,3.0,Isosporiasis, , , , , , , 
58,A07.8,A078,DEFAULT,3.0,Other specified protozoal intestinal diseases, , , , , , , 
59,A07.9,A079,DEFAULT,3.0,"Protozoal intestinal disease, unspecified", , , , , , , 
60,A08,A08,DEFAULT,3.0,Viral and other specified intestinal infections, , , , , , , 
61,A08.0,A080,DEFAULT,3.0,Rotaviral enteritis, , , , , , , 
62,A08.1,A081,DEFAULT,3.0,Acute gastroenteropathy due to Norwalk agent, , , , , , , 
63,A08.2,A082,DEFAULT,3.0,Adenoviral enteritis, , , , , , , 
64,A08.3,A083,DEFAULT,3.0,Other viral enteritis, , , , , , , 
65,A08.4,A084,DEFAULT,3.0,"Viral intestinal infection, unspecified", , , , , , , 
66,A08.5,A085,DEFAULT,3.0,Other specified intestinal infections, , , , , , , 
67,A09,A09,DEFAULT,3.0,Other gastroenteritis and colitis of infectious and unspecified origin, , , , , , , 
68,A09.0,A090,DEFAULT,3.0,Other and unspecified gastroenteritis and colitis of infectious origin, , , , , , , 
69,A09.9,A099,DEFAULT,3.0,Gastroenteritis and colitis of unspecified origin, , , , , , , 
70,A15,A15,DEFAULT,3.0,"Respiratory tuberculosis, bacteriologically and histologically confirmed", , , , , , , 
