coding	meaning
-1	redacted - potentially sensitive or identifying
-2	redacted - rare occupation
Y0001	Bottles of wine
Y0002	Glasses of wine
Y0004	Pints of beer
Y0007	Pathology Action
Y0008	Pathology Comment
Y0009	X-ray Result
Y000c	Dementia review done
Y000d	Location of last smear test
Y000e	IUD device used
Y0010	Pathology Test
Y0011	Antibody Screen
Y0012	Neuropathy Level Worst Side
Y0013	HBsAg
Y0014	STS
Y0015	Diabetic Control
Y0016	Foot Pulses
Y0018	Smoking Target Notes
Y0019	Eye Overview
Y001b	Year 6 review
Y001c	A&E department attended
Y001d	Consent obtained
Y0020	Anti HBs
Y0021	10g Monofilament
Y0022	Age Diabetes Diagnosed
Y0023	Activity Target Notes
Y0024	Asthma Control
Y0028	Overview Notes
Y0029	X-ray result RC
Y002a	Seen by responsible person
Y002d	Exam - palate - satisfactory
Y002e	Exam - palate - problem
Y0030	Asthma Trigger Control
Y0032	Education Chiropody
Y0034	Education Diabetes Date
Y0038	Eye Recall Review
Y003e	Exam - stills - satisfactory
Y0043	Eye Screening Method
Y0044	Alcohol Target Notes
Y0045	Asthma Prophylaxis Drug ID
Y0047	Education Literature Date
Y0048	Eye Correction
Y004f	Exam - startles - satisfactory
Y0051	Target Units Of Alcohol
Y0056	Siprometry FVC
Y0057	Siprometry FEV1
Y0060	Serum Sodium Valpoarate Level
Y0064	Education Hyperglycaemia
Y0067	Education Exercise
Y0068	Education Glucose Monitor Date
Y006a	Outcome - hearing
Y006b	Exam - tone - satisfactory
Y0070	Wound Site
Y0072	LKM Anitibody
Y0073	Education Rec Results Date
Y0077	Eyes Opthalmoscopy Done By
Y0078	Diet Target Advice
Y0079	Death Notes
Y007c	Exam - head control - satisfactory
Y0082	Death Reason
Y0084	Wound Details
Y0086	Wound Exudate
Y0087	Education Hypo Prevention Date
Y0088	Education Hypo Symptoms Date
Y008e	Exam - manipulation - satisfactory
Y0092	Asthma Trigger Other Text
Y0094	Education Hypo Causes Date
Y0099	Feet 10g Monofilament Text
Y00a0	Exam - social smile - satisfactory
Y00a7	Outcome - speech and language
Y00a8	Exam - sleep - satisfactory
Y00aa	Exam - sleep - observation
Y00ac	Exam - sleep - referral
Y00b8	FH: Cardiac anomily
Y00bc	O/E - L.dorsalis pedis palpable
Y00be	O/E - L.post.tib.pulse palpable
Y00c0	O/E - R.dorsalis pedis palpable
Y00c2	O/E - R.post.tib.pulse palpable
Y00c4	Reduction of heloma durum
Y00c5	Enucleation of heloma durum
Y00c7	Enucleation of heloma molle
Y00c9	Enucleation of heloma millare
Y00ca	Reduction of heloma neurovasculare
Y00cb	Enucleation of heloma neurovasculare
Y00cd	Reduction of heloma fibrous
Y00ce	Enucleation of heloma fibrous
Y00d0	Chemical cautery of verruca pedis
Y00d1	Cryotherapy of verruca pedis
Y00d2	Reduction of hyperkeratosis
Y00d9	H/O fainting
Y00db	H/O polydipsia
Y00dc	H/O polyuria
Y00df	Blood Spot - date sample received
Y00e1	Foot condition worsened
Y00e2	Pre-operative skin disinfection
Y00e3	Post-operative skin disinfection
Y00e4	Past treatment
Y00e6	Advice given - pelvic floor exercises
Y00e7	Advice given - cervical smear
Y00e9	Malnutrition Universal Screening Tool (MUST) score
Y00ea	MUST step 1 (BMI score) outcome
Y00eb	MUST step 2 (weight loss score) outcome
Y00ec	MUST step 3 (acute disease effect score) outcome
Y00ef	Food phobia
Y00f0	Estimated average energy requirement
Y00f1	Activity factor
Y00f3	Physical activity level
Y00f4	Additional energy for weight gain
Y0100	Wound Dressing Frequency
Y0101	Education Excercise Date
Y0102	Wound Fragile
Y0103	Wound Healthy
Y0104	Wound Width
Y0106	Serum EPP
Y010d	Iron requirement
Y0110	Wound Sloughy
Y0112	Respiratory Target PEFR
Y0115	Wound Odour
Y011b	Vitamin D requirement
Y0120	Follow Up Date
Y0121	Inadequate Smear Result
Y0124	Blood Iron
Y0125	B-HCG
Y0128	Wound Dressing By
Y0129	Wound Antibiotics
Y012c	Vitamin B12 requirement
Y012d	Folate requirement
Y0134	Folow Up Action
Y0138	Education Smoking
Y013b	Feeding orally
Y0142	Asthma Trigger Other
Y0145	Overview Hypo Aware
Y0146	Overview Atopic
Y0147	Total CO2
Y014b	Feeding via jejunostomy route
Y0152	FH CHD
Y0153	Hospital Based Exercise Programme
Y0154	Community Based Exercise Programme
Y0155	Structured Home Based Exercise Programme
Y0157	Exercise Programme NOS
Y0158	Not referred for Exercise Programme
Y0159	Referral to Health Psychologist
Y015b	Overweight build
Y015c	Loose fitting clothing
Y0160	Adverse effects to medication - Action Taken
Y0161	Patient Goals Review
Y0162	Patient Goals Achieved
Y0165	Offer of guidance of action on relapse
Y0166	Carer(s) contacted
Y0167	Offer of education for carer(s)
Y0168	Offer of counselling for carer(s)
Y016b	Dog allergy
Y016c	MMR second booster
Y016d	Advice about voluntary bereavement services
Y016f	Grieving support required
Y0172	Address of concerns regarding return to work
Y0173	Address of concerns regarding sexual activity
Y0175	Referred for sexual councelling
Y0176	Patient attending formal exercise session
Y0179	Health: Non attendance of formal exercise session
Y017b	Problems relating to advancing illness or death of friend or family
Y017c	Impact of illness on lifestyle
Y017d	Preferred place of treatment
Y017e	Requires continuing care assessment
Y017f	Profound deafness
Y018a	Takes night sedation
Y018b	Intermittent disorientation
Y018c	Under care of hospital at home service
Y018d	Pre-treatment pain scale
Y0196	Patient Referred for Long Term Followup (Phase 4)
